,timestamp,local_timestamp,strike_price,expiration,open_interest,last_price,bid_price,bid_amount,bid_iv,ask_price,ask_amount,ask_iv,mark_price,mark_iv,underlying_price,delta,gamma,vega,theta,rho,ttm
count,1343022,1343022.0,1343022.0,1343022,1343022.0,908822.0,679720.0,679720.0,293638.0,1048431.0,1048431.0,1048428.0,1343022.0,1343022.0,1343022.0,1343022.0,1343022.0,1343022.0,1343022.0,1343022.0,1343022
mean,2023-07-04 05:20:52.187181056,1688473252203062.8,18160.073960069156,2023-07-04 17:38:35.327665664,206.58932094932172,0.012281103670465728,0.020845066350850334,54.02272994762551,32.569912000490376,0.05133307151352833,182.31486030077318,160.31825517822878,0.02792131446841528,51.18836686219584,18408.65791263456,0.08406844619075492,0.0017364165516275975,0.8195905186661124,-13.746272419327457,0.012699632560002743,0 days 12:17:43.140490158
min,2023-07-03 17:00:00.261000,1688428800271132.0,1650.0,2023-07-04 01:00:00,0.0,0.0005,0.0005,0.1,3.65,0.0005,0.1,12.26,0.0,27.9,1932.1501,-1.0,0.0,0.0,-109.37799,-0.92889,-1 days +23:59:53.483000
25%,2023-07-03 23:24:01.305999872,1688451841316806.8,1950.0,2023-07-04 01:00:00,0.0,0.0005,0.002,1.0,29.04,0.0005,4.6,47.03,0.0001,39.97,1955.1568,-0.24929,0.0,0.00018,-11.4324625,-0.01478,0 days 06:32:26.934750
50%,2023-07-04 05:28:18.077000192,1688473698082644.0,28000.0,2023-07-05 01:00:00,29.0,0.0015,0.0075,6.1,32.07,0.0015,35.4,91.28,0.0056,51.97,30801.6611,0.0,0.00011,0.07153,-1.00408,0.0,0 days 12:31:56.245500
75%,2023-07-04 11:17:31.027000064,1688494651041620.2,31000.0,2023-07-05 01:00:00,187.8,0.012,0.031,37.0,35.47,0.021,159.0,176.55,0.046,58.25,31028.828625000002,0.7660475,0.00083,0.70137,-0.00155,0.03247,0 days 17:54:51.338000
max,2023-07-04 16:59:59.206000,1688515199221029.0,34000.0,2023-07-05 01:00:00,2543.0,0.129,0.151,1455.0,184.26,1.0,1945.0,999.0,0.1609,87.46,31333.9995,1.0,0.1026,6.44933,0.0,0.7842,0 days 23:59:59.974000
std,,24844985638.12028,14265.268546110621,,402.60466161414877,0.023754984085561703,0.02672855962710041,147.56512413611776,7.399467485884409,0.18464687881007089,330.6395738833773,205.80581810791725,0.03941645362269397,12.880425325749748,14392.486928989156,0.6589822185160329,0.00449508948483705,1.494998488000844,25.475312044568742,0.24231509923686773,0 days 06:46:08.631681284
